################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2         20   2.0540651193532139E-01   1.0757099914280598E+01   6.4858115098510636E+00   1.7687070829159741E+00
         2         21   0.0000000000000000E+00   8.9166938451192888E+00   7.1694353729492877E-01   8.9574422156892020E-01
         2         22   0.0000000000000000E+00   4.9370903782588185E+00   5.2253071010986185E-01   7.4342630859011161E-01
         2         23   2.4695062874804735E-01   8.9382886832235542E+00   5.4321713608541300E+00   1.4701356586584973E+00
         2         24   0.0000000000000000E+00   7.0602193897475924E+00   6.0956010456604004E-01   7.5555587582819661E-01
         2         25   0.0000000000000000E+00   1.5079223913085436E+00   1.4754228031512814E-01   2.1120941927221065E-01
         2         26   9.3053139778244240E-02   2.5402801005077991E+00   1.5437300548752857E+00   4.1325645193657173E-01
         2         27   0.0000000000000000E+00   2.0211220100521023E+00   1.7114794114814513E-01   2.1270444836090149E-01
         2         28   0.0000000000000000E+00   2.6742601848343339E+00   2.8075321165119932E-01   4.0093699055143361E-01
         2         29   2.4668785236437471E-01   4.8159503680150282E+00   2.8607876410812749E+00   7.8043555046980695E-01
         2         30   0.0000000000000000E+00   3.9679456401861963E+00   3.2380857865895646E-01   4.0258681350885989E-01
         2         31   0.0000000000000000E+00   3.6709999319081001E+00   3.7729236578047426E-01   5.6416779345288093E-01
         2         32   0.0000000000000000E+00   5.0595419535452342E+00   4.1672992763120120E-01   5.2498237312635032E-01
         2         33   0.0000000000000000E+00   2.3781238563577189E-03   7.1099758322468125E-05   7.0677499317253317E-05
         2         34   0.0000000000000000E+00   5.0918094231446791E-04   1.6783012812044975E-05   3.0825577604367402E-05
         2         35   0.0000000000000000E+00   1.8451182511965178E-03   2.1278794452034714E-04   2.0907129439927470E-04
         2         36   0.0000000000000000E+00   9.5703938133710937E-04   3.6171484841391525E-05   5.8632596530582869E-05
         2         37   0.0000000000000000E+00   1.9160303510267977E-03   6.1041247506155599E-06   3.3481121295895677E-05
         2         38   0.0000000000000000E+00   1.9109608016394643E-02   3.0561477407304650E-04   1.0265553356178510E-03
         2         39   0.0000000000000000E+00   1.8330095825304881E-02   1.6967106692153330E-03   2.3104498925458515E-03
         2         40   0.0000000000000000E+00   2.1147498357748477E-02   5.7052206106798450E-04   1.4546903882248061E-03
         2         41   0.0000000000000000E+00   6.7718605908149793E-02   1.5541819266004661E-02   8.8263893942543935E-03
