# Ref: http://cst-www.nrl.navy.mil/lattice/prototype.html (21.03.2012)
#          Prototype  NrSpecies  Stochiometry   Pearson's     Struktur   SpaceGroup    Nr    Wyckoff  NrIrr     Notes
                   P        1               1        mP84           --         P2/c    13          g      1     monoclinic_Phosphorus
               PPrS4        3           1:1:4        tI96           --      I41/acd   142       abeg      4     --
           Pa(alpha)        1               1         tI2           Aa       I4/mmm   139          a      1     bct
               PbCl2        2             1:2        oP12          C23         Pnma    62         c3      3     --
                 PdS        2             1:1        tP16          B34        P42/m    84       cejk      4     --
               PdSn2        2             1:2        oC24           Ce         Aba2    41         ab      2     --
           Po(alpha)        1               1         cP1           Ah         Pm3m   221          a      1     Simple_Cubic
            Po(beta)        1               1         hR1           Ai          R3m   166          a      1     --
                 PtS        2             1:1         tP4          B17      P42/mmc   131         ce      2     --
               PtSn4        2             1:4        oC20          D1c         Aba2    41         ab      2     PdSn
           Pu(alpha)        1               1        mP16           --        P21/m    11         e8      8     --
            Pu(beta)        1               1        mC34           --         B2/m    12     ahi3j2      7     --
           Pu(gamma)        1               1         oF8           --         Fddd    70          a      1     --
               ReSi2        2             1:2         oI6           --         Immm    71         ai      2     --
            S(alpha)        1               1       oF128          A16         Fddd    70         h4      4     --
               S3Sb2        2             2:3        oP20          D58         Pnma    62         c5      5     --
                S2Si        2             1:2        oI12          C42         Ibam    72         aj      2     --
                 SSn        2             1:1         oP8          B29         Pnma    62         c2      2     --
                 SZn        2             1:1         cF8           B3         F43m   216         ac      2     Zincblende
                 SZn        2             1:1         hP4           B4        P63mc   186         b2      2     Wurtzite
              Sb2Tl7        2             2:7        cI54          L22         Im3m   229       aefh      4     See_CrFe
           Se(alpha)        1               1        mP64           Ak        P21/c    14        e16     16     --
            Se(beta)        1               1        mP32           Al        P21/c    14         e8      8     --
           Se(gamma)        1               1         hP3           A8        P3121   152          a      1     --
                SeTl        2             1:1        tI16          B37       I4/mcm   140        abh      3     AlKTe
                  Si        1               1        cI16           --          Ia3   206          c      1     BC8
                  Si        1               1        tP12           --       P43212    96         ab      2     ST12
